2025-03-17 10:32:23,046, INFO, EF_2022_LL_V1, lp, 4740006221000, Noll-värde i lastprofil
2025-03-17 10:32:23,047, INFO, EF_2022_LL_V1, lp, 4740006228000, Noll-värde i lastprofil
2025-03-17 10:32:23,047, INFO, EF_2022_LL_V1, lp, 4740006229000, Noll-värde i lastprofil
2025-03-17 10:32:23,048, INFO, EF_2022_LL_V1, lp, 4740006230000, Noll-värde i lastprofil
2025-03-17 10:32:23,048, INFO, EF_2022_LL_V1, lp, 4740006231000, Noll-värde i lastprofil
2025-03-17 10:32:23,049, INFO, EF_2022_LL_V1, lp, 4740006242000, Noll-värde i lastprofil
2025-03-17 10:32:23,049, INFO, EF_2022_LL_V1, lp, 4740006243000, Noll-värde i lastprofil
2025-03-17 10:32:23,050, INFO, EF_2022_LL_V1, lp, 4740006246000, Noll-värde i lastprofil
2025-03-17 10:32:23,050, INFO, EF_2022_LL_V1, lp, 4740006247000, Noll-värde i lastprofil
2025-03-17 10:32:23,050, INFO, EF_2022_LL_V1, lp, 4740006248000, Noll-värde i lastprofil
2025-03-17 10:32:23,051, INFO, EF_2022_LL_V1, lp, 4740006250000, Noll-värde i lastprofil
2025-03-17 10:32:23,051, INFO, EF_2022_LL_V1, lp, 4740006251000, Noll-värde i lastprofil
2025-03-17 10:32:23,052, INFO, EF_2022_LL_V1, lp, 4740006254000, Noll-värde i lastprofil
2025-03-17 10:32:23,052, INFO, EF_2022_LL_V1, lp, 4750006207000, Noll-värde i lastprofil
2025-03-17 10:32:23,053, INFO, EF_2022_LL_V1, lp, 4750006208000, Noll-värde i lastprofil
2025-03-17 10:32:23,053, INFO, EF_2022_LL_V1, lp, 4750006209000, Noll-värde i lastprofil
2025-03-17 10:32:23,054, INFO, EF_2022_LL_V1, lp, 4750006210000, Noll-värde i lastprofil
2025-03-17 10:32:23,055, INFO, EF_2022_LL_V1, lp, 4750006215000, Noll-värde i lastprofil
2025-03-17 10:32:23,055, INFO, EF_2022_LL_V1, lp, 4750006216000, Noll-värde i lastprofil
2025-03-17 10:32:23,056, INFO, EF_2022_LL_V1, lp, 4750006217000, Noll-värde i lastprofil
2025-03-17 10:32:23,056, INFO, EF_2022_LL_V1, lp, 4750006219000, Noll-värde i lastprofil
2025-03-17 10:32:23,057, INFO, EF_2022_LL_V1, lp, 4750006220000, Noll-värde i lastprofil
2025-03-17 10:32:23,058, INFO, EF_2022_LL_V1, lp, 4750006221000, Noll-värde i lastprofil
2025-03-17 10:32:23,058, INFO, EF_2022_LL_V1, lp, 4750006222000, Noll-värde i lastprofil
2025-03-17 10:32:23,058, INFO, EF_2022_LL_V1, lp, 4750006223000, Noll-värde i lastprofil
